# JMH version: 1.23
# AWS instance: c5.4xlarge
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_0_log_call_simple.run

# Run progress: 0.00% complete, ETA 01:06:40
# Fork: 1 of 5
# Warmup Iteration   1: 366.665 ns/op
# Warmup Iteration   2: 355.655 ns/op
# Warmup Iteration   3: 355.746 ns/op
# Warmup Iteration   4: 356.074 ns/op
# Warmup Iteration   5: 356.383 ns/op
Iteration   1: 356.244 ns/op
Iteration   2: 356.471 ns/op
Iteration   3: 357.223 ns/op
Iteration   4: 357.386 ns/op
Iteration   5: 357.042 ns/op

# Run progress: 2.50% complete, ETA 01:05:49
# Fork: 2 of 5
# Warmup Iteration   1: 397.184 ns/op
# Warmup Iteration   2: 377.710 ns/op
# Warmup Iteration   3: 386.183 ns/op
# Warmup Iteration   4: 386.173 ns/op
# Warmup Iteration   5: 385.796 ns/op
Iteration   1: 386.743 ns/op
Iteration   2: 385.046 ns/op
Iteration   3: 385.053 ns/op
Iteration   4: 384.608 ns/op
Iteration   5: 384.293 ns/op

# Run progress: 5.00% complete, ETA 01:04:08
# Fork: 3 of 5
# Warmup Iteration   1: 376.186 ns/op
# Warmup Iteration   2: 368.397 ns/op
# Warmup Iteration   3: 367.262 ns/op
# Warmup Iteration   4: 372.362 ns/op
# Warmup Iteration   5: 367.395 ns/op
Iteration   1: 367.064 ns/op
Iteration   2: 370.175 ns/op
Iteration   3: 370.455 ns/op
Iteration   4: 370.304 ns/op
Iteration   5: 370.446 ns/op

# Run progress: 7.50% complete, ETA 01:02:27
# Fork: 4 of 5
# Warmup Iteration   1: 418.827 ns/op
# Warmup Iteration   2: 407.532 ns/op
# Warmup Iteration   3: 407.525 ns/op
# Warmup Iteration   4: 406.970 ns/op
# Warmup Iteration   5: 407.111 ns/op
Iteration   1: 406.838 ns/op
Iteration   2: 406.580 ns/op
Iteration   3: 406.498 ns/op
Iteration   4: 406.677 ns/op
Iteration   5: 406.848 ns/op

# Run progress: 10.00% complete, ETA 01:00:46
# Fork: 5 of 5
# Warmup Iteration   1: 423.841 ns/op
# Warmup Iteration   2: 415.779 ns/op
# Warmup Iteration   3: 415.350 ns/op
# Warmup Iteration   4: 414.777 ns/op
# Warmup Iteration   5: 414.218 ns/op
Iteration   1: 412.431 ns/op
Iteration   2: 412.364 ns/op
Iteration   3: 411.816 ns/op
Iteration   4: 411.978 ns/op
Iteration   5: 412.448 ns/op


Result "jmh1595084248772.bench_0_log_call_simple.run":
  386.121 ±(99.9%) 16.155 ns/op [Average]
  (min, avg, max) = (356.244, 386.121, 412.448), stdev = 21.567
  CI (99.9%): [369.966, 402.277] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_1_trace_call_simple.run

# Run progress: 12.50% complete, ETA 00:59:04
# Fork: 1 of 5
# Warmup Iteration   1: 1333.270 ns/op
# Warmup Iteration   2: 1296.337 ns/op
# Warmup Iteration   3: 1289.021 ns/op
# Warmup Iteration   4: 1293.998 ns/op
# Warmup Iteration   5: 1298.383 ns/op
Iteration   1: 1299.728 ns/op
Iteration   2: 1302.281 ns/op
Iteration   3: 1301.259 ns/op
Iteration   4: 1296.973 ns/op
Iteration   5: 1294.241 ns/op

# Run progress: 15.00% complete, ETA 00:57:23
# Fork: 2 of 5
# Warmup Iteration   1: 1229.529 ns/op
# Warmup Iteration   2: 1195.348 ns/op
# Warmup Iteration   3: 1194.575 ns/op
# Warmup Iteration   4: 1195.218 ns/op
# Warmup Iteration   5: 1195.247 ns/op
Iteration   1: 1193.846 ns/op
Iteration   2: 1193.653 ns/op
Iteration   3: 1194.387 ns/op
Iteration   4: 1194.121 ns/op
Iteration   5: 1195.311 ns/op

# Run progress: 17.50% complete, ETA 00:55:41
# Fork: 3 of 5
# Warmup Iteration   1: 1203.654 ns/op
# Warmup Iteration   2: 1168.429 ns/op
# Warmup Iteration   3: 1168.643 ns/op
# Warmup Iteration   4: 1167.612 ns/op
# Warmup Iteration   5: 1171.634 ns/op
Iteration   1: 1172.126 ns/op
Iteration   2: 1169.134 ns/op
Iteration   3: 1169.765 ns/op
Iteration   4: 1167.121 ns/op
Iteration   5: 1167.220 ns/op

# Run progress: 20.00% complete, ETA 00:54:00
# Fork: 4 of 5
# Warmup Iteration   1: 1338.937 ns/op
# Warmup Iteration   2: 1284.781 ns/op
# Warmup Iteration   3: 1291.069 ns/op
# Warmup Iteration   4: 1291.657 ns/op
# Warmup Iteration   5: 1290.123 ns/op
Iteration   1: 1289.437 ns/op
Iteration   2: 1293.145 ns/op
Iteration   3: 1290.020 ns/op
Iteration   4: 1289.577 ns/op
Iteration   5: 1292.355 ns/op

# Run progress: 22.50% complete, ETA 00:52:19
# Fork: 5 of 5
# Warmup Iteration   1: 1244.607 ns/op
# Warmup Iteration   2: 1204.299 ns/op
# Warmup Iteration   3: 1221.349 ns/op
# Warmup Iteration   4: 1221.801 ns/op
# Warmup Iteration   5: 1217.231 ns/op
Iteration   1: 1220.369 ns/op
Iteration   2: 1214.997 ns/op
Iteration   3: 1215.696 ns/op
Iteration   4: 1219.408 ns/op
Iteration   5: 1217.449 ns/op


Result "jmh1595084248772.bench_1_trace_call_simple.run":
  1234.145 ±(99.9%) 39.774 ns/op [Average]
  (min, avg, max) = (1167.121, 1234.145, 1302.281), stdev = 53.097
  CI (99.9%): [1194.371, 1273.919] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_2_trace_call_with_capture.run

# Run progress: 25.00% complete, ETA 00:50:38
# Fork: 1 of 5
# Warmup Iteration   1: 2123.576 ns/op
# Warmup Iteration   2: 2071.853 ns/op
# Warmup Iteration   3: 2062.850 ns/op
# Warmup Iteration   4: 2063.073 ns/op
# Warmup Iteration   5: 2066.866 ns/op
Iteration   1: 2065.247 ns/op
Iteration   2: 2064.763 ns/op
Iteration   3: 2064.095 ns/op
Iteration   4: 2065.989 ns/op
Iteration   5: 2064.559 ns/op

# Run progress: 27.50% complete, ETA 00:48:56
# Fork: 2 of 5
# Warmup Iteration   1: 2191.836 ns/op
# Warmup Iteration   2: 2145.621 ns/op
# Warmup Iteration   3: 2144.517 ns/op
# Warmup Iteration   4: 2144.819 ns/op
# Warmup Iteration   5: 2144.405 ns/op
Iteration   1: 2145.228 ns/op
Iteration   2: 2143.670 ns/op
Iteration   3: 2142.861 ns/op
Iteration   4: 2142.631 ns/op
Iteration   5: 2144.635 ns/op

# Run progress: 30.00% complete, ETA 00:47:15
# Fork: 3 of 5
# Warmup Iteration   1: 2198.699 ns/op
# Warmup Iteration   2: 2148.441 ns/op
# Warmup Iteration   3: 2145.865 ns/op
# Warmup Iteration   4: 2145.454 ns/op
# Warmup Iteration   5: 2145.082 ns/op
Iteration   1: 2144.178 ns/op
Iteration   2: 2143.915 ns/op
Iteration   3: 2144.365 ns/op
Iteration   4: 2143.569 ns/op
Iteration   5: 2143.455 ns/op

# Run progress: 32.50% complete, ETA 00:45:34
# Fork: 4 of 5
# Warmup Iteration   1: 2111.749 ns/op
# Warmup Iteration   2: 2064.457 ns/op
# Warmup Iteration   3: 2063.176 ns/op
# Warmup Iteration   4: 2064.424 ns/op
# Warmup Iteration   5: 2063.588 ns/op
Iteration   1: 2063.307 ns/op
Iteration   2: 2062.939 ns/op
Iteration   3: 2063.937 ns/op
Iteration   4: 2063.393 ns/op
Iteration   5: 2064.720 ns/op

# Run progress: 35.00% complete, ETA 00:43:52
# Fork: 5 of 5
# Warmup Iteration   1: 2217.282 ns/op
# Warmup Iteration   2: 2181.103 ns/op
# Warmup Iteration   3: 2176.567 ns/op
# Warmup Iteration   4: 2177.645 ns/op
# Warmup Iteration   5: 2177.261 ns/op
Iteration   1: 2177.255 ns/op
Iteration   2: 2176.791 ns/op
Iteration   3: 2176.982 ns/op
Iteration   4: 2176.195 ns/op
Iteration   5: 2175.987 ns/op


Result "jmh1595084248772.bench_2_trace_call_with_capture.run":
  2118.587 ±(99.9%) 35.110 ns/op [Average]
  (min, avg, max) = (2062.939, 2118.587, 2177.255), stdev = 46.871
  CI (99.9%): [2083.476, 2153.697] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_3_flake_creation.run

# Run progress: 37.50% complete, ETA 00:42:11
# Fork: 1 of 5
# Warmup Iteration   1: 33.500 ns/op
# Warmup Iteration   2: 32.554 ns/op
# Warmup Iteration   3: 33.068 ns/op
# Warmup Iteration   4: 33.083 ns/op
# Warmup Iteration   5: 33.065 ns/op
Iteration   1: 33.084 ns/op
Iteration   2: 33.105 ns/op
Iteration   3: 33.082 ns/op
Iteration   4: 33.078 ns/op
Iteration   5: 33.095 ns/op

# Run progress: 40.00% complete, ETA 00:40:30
# Fork: 2 of 5
# Warmup Iteration   1: 33.530 ns/op
# Warmup Iteration   2: 32.543 ns/op
# Warmup Iteration   3: 33.285 ns/op
# Warmup Iteration   4: 33.300 ns/op
# Warmup Iteration   5: 33.289 ns/op
Iteration   1: 33.290 ns/op
Iteration   2: 33.286 ns/op
Iteration   3: 33.287 ns/op
Iteration   4: 33.298 ns/op
Iteration   5: 33.295 ns/op

# Run progress: 42.50% complete, ETA 00:38:49
# Fork: 3 of 5
# Warmup Iteration   1: 33.698 ns/op
# Warmup Iteration   2: 32.814 ns/op
# Warmup Iteration   3: 33.456 ns/op
# Warmup Iteration   4: 33.466 ns/op
# Warmup Iteration   5: 33.474 ns/op
Iteration   1: 33.450 ns/op
Iteration   2: 33.462 ns/op
Iteration   3: 33.494 ns/op
Iteration   4: 33.464 ns/op
Iteration   5: 33.435 ns/op

# Run progress: 45.00% complete, ETA 00:37:07
# Fork: 4 of 5
# Warmup Iteration   1: 33.161 ns/op
# Warmup Iteration   2: 32.770 ns/op
# Warmup Iteration   3: 32.757 ns/op
# Warmup Iteration   4: 32.752 ns/op
# Warmup Iteration   5: 32.756 ns/op
Iteration   1: 32.767 ns/op
Iteration   2: 32.768 ns/op
Iteration   3: 32.751 ns/op
Iteration   4: 32.745 ns/op
Iteration   5: 32.745 ns/op

# Run progress: 47.50% complete, ETA 00:35:26
# Fork: 5 of 5
# Warmup Iteration   1: 33.345 ns/op
# Warmup Iteration   2: 32.569 ns/op
# Warmup Iteration   3: 33.450 ns/op
# Warmup Iteration   4: 33.469 ns/op
# Warmup Iteration   5: 33.479 ns/op
Iteration   1: 33.460 ns/op
Iteration   2: 33.456 ns/op
Iteration   3: 33.444 ns/op
Iteration   4: 33.447 ns/op
Iteration   5: 33.448 ns/op


Result "jmh1595084248772.bench_3_flake_creation.run":
  33.209 ±(99.9%) 0.202 ns/op [Average]
  (min, avg, max) = (32.745, 33.209, 33.494), stdev = 0.270
  CI (99.9%): [33.007, 33.412] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
